"age_category","tvhours"
"old",1
"young",1
"young",4
"young",4
"young",1
"young",1
"young",2
"old",3
"young",4
"old",3
"young",0
"young",3
"young",1
"old",3
"young",4
"young",1
"young",1
"young",2
"young",1
"old",5
"young",2
"old",6
"young",3
"young",1
"old",0
"young",3
"young",2
"young",10
"young",2
"old",3
"young",1
"young",1
"young",0
"young",1
"young",2
"young",1
"young",2
"young",0
"young",17
"young",4
"young",4
"young",5
"old",2
"young",1
"young",0
"old",3
"old",5
"old",4
"young",2
"young",2
"young",3
"young",2
"young",0
"old",8
"young",1
"young",1
"young",4
"young",0
"young",1
"young",1
"young",2
"young",3
"young",24
"young",4
"young",5
"old",2
"young",4
"young",2
"old",6
"young",1
"young",3
"old",4
"young",4
"young",0
"old",2
"young",1
"young",1
"old",12
"young",4
"young",2
"old",8
"young",2
"old",8
"young",3
"young",4
"young",4
"young",1
"young",0
"young",1
"young",4
"young",2
"old",5
"old",5
"young",2
"old",1
"young",4
"young",16
"young",1
"young",0
"old",2
